Provider,Specific Plan Name,Estimated Monthly Price,Upfront Credit,Link

Tango Energy,Value Select,$114.36,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TAN531835MR.pdf

CovaU,Super Saver,$120.53,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/COV532264MR.pdf

Amber,"No Feed-In, Variable Wholesale Prices (estimate only)",$121.79,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AMB549143MR.pdf

Amber,Variable Wholesale Prices (estimate only),$123.39,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AMB549093MR.pdf

Energy Locals,Daytime Saver,$124.78,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENE544836MR.pdf

Lumo Energy,Value,$129.56,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/LU2547218MR.pdf

ENGIE,Perks,$130.54,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534284MR.pdf

ENGIE,Seniors,$130.54,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534024MR.pdf

ENGIE,GreenPower,$132.41,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534254MR.pdf

ENGIE,Saver,$132.41,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534064MR.pdf

OVO Energy,The One Plan,$134.65,$150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548798MR.pdf

ENGIE,Movers,$137.97,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534044MR.pdf

ENGIE,Movie Perks,$137.97,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534154MR.pdf

EnergyAustralia,Flexi Plan,$138.02,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU541836MR.pdf

EnergyAustralia,Flexi Plan ($100 credit offer),$138.02,$100,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU541866MR.pdf

